Name,GEOID20,TAPERSONS,total_TAPERSONS
99,530330109001023,0,4183
99,530330109001024,0,4183
99,530330209003006,90,4183
99,530330210002001,224,4183
99,530330213001002,0,4183
99,530330213001003,137,4183
99,530330213001015,97,4183
99,530330260011012,63,4183
99,530330260011025,92,4183
99,530330260013004,258,4183
99,530330260013013,167,4183
99,530330260013014,153,4183
99,530330261011004,0,4183
99,530330261011005,0,4183
99,530330261012002,114,4183
99,530330261012003,76,4183
99,530330261021000,40,4183
99,530330261021009,117,4183
99,530330263001004,0,4183
99,530330263001005,0,4183
99,530330263001017,0,4183
99,530330263001018,71,4183
99,530330263001026,0,4183
99,530330263001027,0,4183
99,530330263001031,0,4183
99,530330263001032,0,4183
99,530330263001033,0,4183
99,530330263001034,47,4183
99,530330263001038,0,4183
99,530330263001039,79,4183
99,530330264001013,0,4183
99,530330264001014,0,4183
99,530330264001015,0,4183
99,530330264003000,0,4183
99,530330264003001,0,4183
99,530330264004000,0,4183
99,530330264004001,0,4183
99,530330264004002,0,4183
99,530330264004004,0,4183
99,530330264004005,0,4183
99,530330265001003,50,4183
99,530330265001006,28,4183
99,530330265001008,142,4183
99,530330265001009,10,4183
99,530330265001010,187,4183
99,530330265001017,175,4183
99,530330265001018,39,4183
99,530330265001020,25,4183
99,530330265001023,0,4183
99,530330265002000,89,4183
99,530330265002003,120,4183
99,530330265002005,81,4183
99,530330265002006,0,4183
99,530330265002007,22,4183
99,530330266001001,60,4183
99,530330266001004,77,4183
99,530330266001005,45,4183
99,530330266002000,54,4183
99,530330266002001,39,4183
99,530330266002002,35,4183
99,530330266002003,69,4183
99,530330266002004,80,4183
99,530330266002005,192,4183
99,530330266002010,58,4183
99,530330267004002,146,4183
99,530330267004010,249,4183
99,530330267004015,286,4183
B1,530330032011000,14,19211
B1,530330032011001,0,19211
B1,530330032011002,11,19211
B1,530330032011003,13,19211
B1,530330032011004,0,19211
B1,530330032011005,176,19211
B1,530330032011006,0,19211
B1,530330032011007,136,19211
B1,530330032011008,122,19211
B1,530330032011009,60,19211
B1,530330032011010,36,19211
B1,530330032011011,16,19211
B1,530330032011012,37,19211
B1,530330032011013,21,19211
B1,530330032011014,56,19211
B1,530330032011015,32,19211
B1,530330032011016,24,19211
B1,530330032011017,39,19211
B1,530330032011018,12,19211
B1,530330032011019,15,19211
B1,530330032011020,0,19211
B1,530330032011021,95,19211
B1,530330032011022,202,19211
B1,530330032011023,13,19211
B1,530330032011024,24,19211
B1,530330032011025,223,19211
B1,530330032011026,0,19211
B1,530330032011027,0,19211
B1,530330032011028,0,19211
B1,530330032012002,32,19211
B1,530330032012003,75,19211
B1,530330032012009,46,19211
B1,530330032012010,27,19211
B1,530330032012011,66,19211
B1,530330032012012,95,19211
B1,530330032012013,0,19211
B1,530330032012016,0,19211
B1,530330032012017,0,19211
B1,530330032012018,0,19211
B1,530330032012019,54,19211
B1,530330032012020,9,19211
B1,530330032012021,63,19211
B1,530330032012022,14,19211
B1,530330032012023,41,19211
B1,530330032012024,39,19211
B1,530330032012025,15,19211
B1,530330032012026,110,19211
B1,530330032012027,21,19211
B1,530330032012028,0,19211
B1,530330032012029,0,19211
